source,paper_id,title,abstract,authors,year,venue,doi,url,citation_count,publication_date,relevance_status,rejection_reason
semantic_scholar,ae1fe10973e99b8eba001265867af19e47dd9bbf,Leveraging blockchain-integrated explainable artificial intelligence (XAI) for ethical and personalized healthcare decision-making: a framework for secure data sharing and enhanced patient trust,,Abdullah Ayub Khan; R. Ghodhbani; Abdulmajeed Alsufyani; Nawal Alsufyani; Mohamad Afendee Mohamed,2025,Journal of Supercomputing,10.1007/s11227-025-07844-0,https://www.semanticscholar.org/paper/ae1fe10973e99b8eba001265867af19e47dd9bbf,14,2025-09-18,accepted,
semantic_scholar,aa33fb89ceef2e25445cbcbf65cba2ead713ce38,A review of Explainable Artificial Intelligence in healthcare,,Z. Sadeghi; R. Alizadehsani; M. Çifçi; Samina Kausar; Rizwan Rehman; P. Mahanta; P. Bora; Ammar Almasri; Rami Suleiman Alkhawaldeh; Sadiq Hussain; Bilal Alataş; A. Shoeibi; H. Moosaei; Milan Hladík; Saeid Nahavandi; P. Pardalos,2024,Computers & electrical engineering,10.1016/j.compeleceng.2024.109370,https://www.semanticscholar.org/paper/aa33fb89ceef2e25445cbcbf65cba2ead713ce38,505,2024-08-01,accepted,
semantic_scholar,03a9540aa71ee8921d7656e0a78eb08a64f68a94,Towards Transparent Healthcare: Advancing Local Explanation Methods in Explainable Artificial Intelligence,"This paper focuses on the use of local Explainable Artificial Intelligence (XAI) methods, particularly the Local Rule-Based Explanations (LORE) technique, within healthcare and medical settings. It emphasizes the critical role of interpretability and transparency in AI systems for diagnosing diseases, predicting patient outcomes, and creating personalized treatment plans. While acknowledging the complexities and inherent trade-offs between interpretability and model performance, our work underscores the significance of local XAI methods in enhancing decision-making processes in healthcare. By providing granular, case-specific insights, local XAI methods like LORE enhance physicians’ and patients’ understanding of machine learning models and their outcome. Our paper reviews significant contributions to local XAI in healthcare, highlighting its potential to improve clinical decision making, ensure fairness, and comply with regulatory standards.",C. Metta; Andrea Beretta; Roberto Pellungrini; Salvatore Rinzivillo; Fosca Giannotti,2024,Bioengineering,10.3390/bioengineering11040369,https://www.semanticscholar.org/paper/03a9540aa71ee8921d7656e0a78eb08a64f68a94,62,2024-04-01,accepted,
semantic_scholar,6cc7bcd5f0a3fc408c5f4fa97fe638ef03dd7fab,Synergizing advanced algorithm of explainable artificial intelligence with hybrid model for enhanced brain tumor detection in healthcare,"Brain tumor causes life-threatening consequences due to which its timely detection and accurate classification are critical for determining appropriate treatment plans while focusing on the improved patient outcomes. However, conventional approaches of brain tumor diagnosis, such as Magnetic Resonance Imaging (MRI) and Computed Tomography (CT) scans, are often labor-intensive, prone to human error, and completely reliable on expertise of radiologists.Thus, the integration of advanced techniques such as Machine Learning (ML) and Deep Learning (DL) has brought revolution in the healthcare sector due to their supporting features or properties having ability to analyze medical images in recent years, demonstrating great potential for achieving accurate and improved outcomes but also resulted in a few drawbacks due to their black-box nature. As understanding reasoning behind their predictions is still a great challenge for the healthcare professionals and raised a great concern about their trustworthiness, interpretability and transparency in clinical settings. Thus, an advanced algorithm of explainable artificial intelligence (XAI) has been synergized with hybrid model comprising of DenseNet201 network for extracting the most important features based on the input Magnetic resonance imaging (MRI) data following supervised algorithm, support vector machine (SVM) to distinguish distinct types of brain scans. To overcome this, an explainable hybrid framework has been proposed that integrates DenseNet201 for deep feature extraction with a Support Vector Machine (SVM) classifier for robust binary classification. A region-adaptive preprocessing pipeline is used to enhance tumor visibility and feature clarity. To address the need for interpretability, multiple XAI techniques—Grad-CAM, Integrated Gradients (IG), and Layer-wise Relevance Propagation (LRP) have been incorporated. Our comparative evaluation shows that LRP achieves the highest performance across all explainability metrics, with 98.64% accuracy, 0.74 F1-score, and 0.78 IoU. The proposed model provides transparent and highly accurate diagnostic predictions, offering a reliable clinical decision support tool. It achieves 0.9801 accuracy, 0.9223 sensitivity, 0.9909 specificity, 0.9154 precision, and 0.9360 F1-score, demonstrating strong potential for real-world brain tumor diagnosis and personalized treatment strategies.",Kamini Lamba; S. Rani; Mohammad Shabaz,2025,Scientific Reports,10.1038/s41598-025-07524-2,https://www.semanticscholar.org/paper/6cc7bcd5f0a3fc408c5f4fa97fe638ef03dd7fab,14,2025-07-01,accepted,
semantic_scholar,3b54c7037005fbb4e827e8787a024dd18e0dd619,Application of explainable artificial intelligence for healthcare: A systematic review of the last decade (2011-2022),"BACKGROUND AND OBJECTIVES Artificial intelligence (AI) has branched out to various applications in healthcare, such as health services management, predictive medicine, clinical decision-making, and patient data and diagnostics. Although AI models have achieved human-like performance, their use is still limited because they are seen as a black box. This lack of trust remains the main reason for their low use in practice, especially in healthcare. Hence, explainable artificial intelligence (XAI) has been introduced as a technique that can provide confidence in the model's prediction by explaining how the prediction is derived, thereby encouraging the use of AI systems in healthcare. The primary goal of this review is to provide areas of healthcare that require more attention from the XAI research community. METHODS Multiple journal databases were thoroughly searched using PRISMA guidelines 2020. Studies that do not appear in Q1 journals, which are highly credible, were excluded. RESULTS In this review, we surveyed 99 Q1 articles covering the following XAI techniques: SHAP, LIME, GradCAM, LRP, Fuzzy classifier, EBM, CBR, rule-based systems, and others. CONCLUSION We discovered that detecting abnormalities in 1D biosignals and identifying key text in clinical notes are areas that require more attention from the XAI research community. We hope this is review will encourage the development of a holistic cloud system for a smart city.",H. Loh; C. Ooi; S. Seoni; P. Barua; F. Molinari; Usha R. Acharya,2022,Comput. Methods Programs Biomed.,10.1016/j.cmpb.2022.107161,https://www.semanticscholar.org/paper/3b54c7037005fbb4e827e8787a024dd18e0dd619,628,2022-09-01,accepted,
semantic_scholar,bc2efacd0095481378da598b930c1ea8abcb404c,"A survey of explainable artificial intelligence in healthcare: Concepts, applications, and challenges",,Ibomoiye Domor Mienye; G. Obaido; N. Jere; Ebikella Mienye; Kehinde D. Aruleba; Ikiomoye Douglas Emmanuel; B. Ogbuokiri,2024,Informatics in Medicine Unlocked,10.1016/j.imu.2024.101587,https://www.semanticscholar.org/paper/bc2efacd0095481378da598b930c1ea8abcb404c,148,2024-10-01,accepted,
semantic_scholar,747ce5b1d0178cb08dcf48e43f738f1476876ed5,Explainable Artificial Intelligence (XAI): Concepts and Challenges in Healthcare,"Artificial Intelligence (AI) describes computer systems able to perform tasks that normally require human intelligence, such as visual perception, speech recognition, decision-making, and language translation. Examples of AI techniques are machine learning, neural networks, and deep learning. AI can be applied in many different areas, such as econometrics, biometry, e-commerce, and the automotive industry. In recent years, AI has found its way into healthcare as well, helping doctors make better decisions (“clinical decision support”), localizing tumors in magnetic resonance images, reading and analyzing reports written by radiologists and pathologists, and much more. However, AI has one big risk: it can be perceived as a “black box”, limiting trust in its reliability, which is a very big issue in an area in which a decision can mean life or death. As a result, the term Explainable Artificial Intelligence (XAI) has been gaining momentum. XAI tries to ensure that AI algorithms (and the resulting decisions) can be understood by humans. In this narrative review, we will have a look at some central concepts in XAI, describe several challenges around XAI in healthcare, and discuss whether it can really help healthcare to advance, for example, by increasing understanding and trust. Finally, alternatives to increase trust in AI are discussed, as well as future research possibilities in the area of XAI.",Tim Hulsen,2023,Applied Informatics,10.3390/ai4030034,https://www.semanticscholar.org/paper/747ce5b1d0178cb08dcf48e43f738f1476876ed5,231,2023-08-10,accepted,
semantic_scholar,a7cba054110883abe703bb759e869e297e90c7f4,The enlightening role of explainable artificial intelligence in medical & healthcare domains: A systematic literature review,"In domains such as medical and healthcare, the interpretability and explainability of machine learning and artificial intelligence systems are crucial for building trust in their results. Errors caused by these systems, such as incorrect diagnoses or treatments, can have severe and even life-threatening consequences for patients. To address this issue, Explainable Artificial Intelligence (XAI) has emerged as a popular area of research, focused on understanding the black-box nature of complex and hard-to-interpret machine learning models. While humans can increase the accuracy of these models through technical expertise, understanding how these models actually function during training can be difficult or even impossible. XAI algorithms such as Local Interpretable Model-Agnostic Explanations (LIME) and SHapley Additive exPlanations (SHAP) can provide explanations for these models, improving trust in their predictions by providing feature importance and increasing confidence in the systems. Many articles have been published that propose solutions to medical problems by using machine learning models alongside XAI algorithms to provide interpretability and explainability. In our study, we identified 454 articles published from 2018-2022 and analyzed 93 of them to explore the use of these techniques in the medical domain.",Subhan Ali; Filza Akhlaq; A. Imran; Zenun Kastrati; Sher Muhammad Daudpota; Muhammad Moosa,2023,Comput. Biol. Medicine,10.1016/j.compbiomed.2023.107555,https://www.semanticscholar.org/paper/a7cba054110883abe703bb759e869e297e90c7f4,327,2023-10-01,accepted,
semantic_scholar,e78cb101db209a389485792a06c3ec4e86ccc1c8,"A Review on Explainable Artificial Intelligence for Healthcare: Why, How, and When?","Artificial intelligence (AI) models are increasingly finding applications in the field of medicine. Concerns have been raised about the explainability of the decisions that are made by these AI models. In this article, we give a systematic analysis of explainable artificial intelligence (XAI), with a primary focus on models that are currently being used in the field of healthcare. The literature search is conducted following the preferred reporting items for systematic reviews and meta-analyses standards for relevant work published from 1 January 2012 to 2 February 2022. The review analyzes the prevailing trends in XAI and lays out the major directions in which research is headed. We investigate the why, how, and when of the uses of these XAI models and their implications. We present a comprehensive examination of XAI methodologies as well as an explanation of how a trustworthy AI can be derived from describing AI models for healthcare fields. The discussion of this work will contribute to the formalization of the XAI field.",M. Rubaiyat; Hossain Mondal; Prajoy Podder; Subrato Bharati,2023,IEEE Transactions on Artificial Intelligence,10.1109/TAI.2023.3266418,https://www.semanticscholar.org/paper/e78cb101db209a389485792a06c3ec4e86ccc1c8,160,2023-04-10,accepted,
semantic_scholar,f975e61108df93736dc63e50b4a132b7023b0ccd,Essential properties and explanation effectiveness of explainable artificial intelligence in healthcare: A systematic review,"Background Significant advancements in the field of information technology have influenced the creation of trustworthy explainable artificial intelligence (XAI) in healthcare. Despite improved performance of XAI, XAI techniques have not yet been integrated into real-time patient care. Objective The aim of this systematic review is to understand the trends and gaps in research on XAI through an assessment of the essential properties of XAI and an evaluation of explanation effectiveness in the healthcare field. Methods A search of PubMed and Embase databases for relevant peer-reviewed articles on development of an XAI model using clinical data and evaluating explanation effectiveness published between January 1, 2011, and April 30, 2022, was conducted. All retrieved papers were screened independently by the two authors. Relevant papers were also reviewed for identification of the essential properties of XAI (e.g., stakeholders and objectives of XAI, quality of personalized explanations) and the measures of explanation effectiveness (e.g., mental model, user satisfaction, trust assessment, task performance, and correctability). Results Six out of 882 articles met the criteria for eligibility. Artificial Intelligence (AI) users were the most frequently described stakeholders. XAI served various purposes, including evaluation, justification, improvement, and learning from AI. Evaluation of the quality of personalized explanations was based on fidelity, explanatory power, interpretability, and plausibility. User satisfaction was the most frequently used measure of explanation effectiveness, followed by trust assessment, correctability, and task performance. The methods of assessing these measures also varied. Conclusion XAI research should address the lack of a comprehensive and agreed-upon framework for explaining XAI and standardized approaches for evaluating the effectiveness of the explanation that XAI provides to diverse AI stakeholders.",Jinsun Jung; Hyung-Mok Lee; Hyunggu Jung; Hyeoneui Kim,2023,Heliyon,10.1016/j.heliyon.2023.e16110,https://www.semanticscholar.org/paper/f975e61108df93736dc63e50b4a132b7023b0ccd,79,2023-05-01,accepted,
