method,k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia
MiniLM embeddings + KMeans,2,0.06542618572711945,12.040136988586218,3.643433887238989,78.02689361572266
MiniLM embeddings + KMeans,3,0.04152434319257736,10.056151896400692,3.4531952732552296,74.72008514404297
MiniLM embeddings + KMeans,4,0.06151772662997246,9.291094406588515,3.2421490319691366,71.76022338867188
MiniLM embeddings + KMeans,5,0.05168788880109787,8.006735662602201,3.2172399735657775,70.22694396972656
MiniLM embeddings + KMeans,6,0.039623986929655075,7.376749872362459,3.137585221180436,68.50602722167969
MiniLM embeddings + KMeans,7,0.05048385635018349,6.820101894888982,2.8746801030594265,67.11075592041016
MiniLM embeddings + KMeans,8,0.04647058621048927,6.102069600466844,2.978589519036847,66.45874786376953
TF-IDF + KMeans,2,0.005470944868532403,1.8279782545504875,9.533688207431045,164.5757663418886
TF-IDF + KMeans,3,0.002856439193129166,1.6819560163882499,8.371219003231557,163.1244047674388
TF-IDF + KMeans,4,0.005901280385347633,1.5377618964961224,7.49553465626323,161.9457145577965
TF-IDF + KMeans,5,0.007523395743017814,1.5144505034889586,6.032460214512982,160.5921690614764
TF-IDF + KMeans,6,0.004827077891146653,1.5002224023879387,6.516621639661533,159.2465296904547
TF-IDF + KMeans,7,0.005595633540375513,1.4608668768249669,6.070061493138087,158.0677341687314
TF-IDF + KMeans,8,0.006100250817239028,1.4617050156473883,5.961432337089638,156.71306694712527
TF-IDF + SVD + KMeans,2,0.011796441538275922,3.2982740902514647,7.172147629722589,158.84405977457143
TF-IDF + SVD + KMeans,3,0.007033847765607322,2.5913376712304075,6.767136095834698,157.13760437045065
TF-IDF + SVD + KMeans,4,0.00758154473955046,2.2622507882996565,6.459199920144623,155.693201673234
TF-IDF + SVD + KMeans,5,0.0075596223969224404,2.0520842541169366,6.167753571227627,154.41654808635892
TF-IDF + SVD + KMeans,6,0.00915530817142451,2.0376365283398394,5.702576004171793,152.66879428377663
TF-IDF + SVD + KMeans,7,0.010467094868329961,1.9073045365788306,5.537583301904026,151.5492160789924
TF-IDF + SVD + KMeans,8,0.01259804986750632,1.9576974189854057,5.459674191169459,149.5966694665667
