paper_id,seed_42_cluster,seed_0_cluster,seed_1_cluster,seed_2_cluster,seed_10_cluster,seed_20_cluster,seed_50_cluster,seed_100_cluster
03a9540aa71ee8921d7656e0a78eb08a64f68a94,1,0,0,1,0,1,1,1
6cc7bcd5f0a3fc408c5f4fa97fe638ef03dd7fab,0,1,1,0,1,0,0,0
3b54c7037005fbb4e827e8787a024dd18e0dd619,1,0,0,1,0,1,1,1
747ce5b1d0178cb08dcf48e43f738f1476876ed5,1,0,0,1,0,1,1,1
a7cba054110883abe703bb759e869e297e90c7f4,1,0,0,1,0,1,1,1
e78cb101db209a389485792a06c3ec4e86ccc1c8,1,0,0,1,0,1,1,1
f975e61108df93736dc63e50b4a132b7023b0ccd,1,0,0,1,0,1,1,1
20c02c51420a69ae39b74d8d73148417819dacc1,1,0,0,1,0,1,1,1
1d5831e7b535d4a26efcc730c92bf6e964d602ba,1,0,0,1,0,1,1,1
946485ed9eba9af9528ef9bbc5ccac97346f12f0,0,1,1,0,1,0,0,0
068186a0da96ce2c1437a971d08817dd54980116,1,0,0,1,0,1,1,1
a1b5e4b4a430058e33498e4d842734344d1fb7f9,1,0,0,1,0,1,1,1
11208cbc06ce190e0821cef5182584b17cc19f15,1,0,0,1,0,1,1,1
1fa9eac98094fce735727c4ff0391448a4038b97,1,0,0,1,0,1,1,1
4d97eefb9efbc39f91922337a90403eb88c2ace7,1,0,0,1,0,1,1,1
47ead100d2f049e0b32fd1a449e23d10176a8c38,0,1,1,0,1,0,0,0
2a0f189edcf522d8568f8fbe32373a17cb77cb57,1,0,0,1,0,1,1,1
856df8680f47da9b267b896fcdfdf0fb010f73e4,1,0,0,1,0,1,1,1
682d9147abcd9a7b1bd536dcdbf2319a75529c54,0,1,1,0,1,0,0,0
b89fc2186636ef33f09a1a34315227286a70197b,1,0,0,1,0,1,1,1
bb9959d715b8933b2036b94513122f1f9cbbe355,1,0,0,1,0,1,1,1
a4b0744a93fee40f1e16904af16e06294eff0dcd,1,0,0,1,0,1,1,1
0024c33a8cca7175b92880b8c47940deeb05e87c,0,1,1,0,1,0,0,0
c3f6a0e8e2468f1baa1aafc689d6acc0a710f82e,1,0,0,1,0,1,1,1
421cebc60f864bdfa680bd1021b22c608b480650,1,0,0,1,0,0,0,1
44c82b19180e786c3993d9bcfd933aa4f14455d3,0,1,1,0,1,0,0,0
8137fbbaf69d80dacb87ca05ab516b04bb03db02,1,0,0,1,0,1,1,1
cf7bd780cc164e913ca9a40753fdb7169bbf826a,1,0,0,1,0,1,1,1
dc49d359f6077e831c3d4ee853979cdf9cb960b1,0,1,1,0,1,0,0,0
449440154af5b6cadc5fc28c3b76dcb32b193010,0,1,1,0,1,0,0,0
684b28b91706535fc89a17f02d69945a01200315,1,0,0,1,0,1,1,1
e42c6be8fc7e128956273bd7d8ce32dc14c536ef,1,0,0,1,0,1,1,1
52053dc5883fdc2259b210277fd2f0cfb8363cbf,0,1,1,0,1,0,0,0
6239b56d3d45936b4bd5fa4363f43783ccf71e01,1,0,0,1,0,1,1,1
3f0ec5aacbe55fa4535a522b747e5211447f8ffc,1,0,0,1,0,1,1,0
7fe0c1515d951bbe77e5c12eb436f5a91fc5931f,0,1,1,0,1,0,0,0
700b8298d20cd34305d76e12bc94948fd4522b53,1,0,0,1,0,1,1,1
ffe1458418ba93a2ea08ebabd52b21c8dba31549,1,0,0,1,0,1,1,1
c9526eabe882263c8e54db79b384aa3b74ac3045,0,1,1,0,1,0,0,0
df9b9ba53bf8e2eb651f614510b80d986002bf8d,1,0,0,1,0,1,1,1
839957c7c3911d462f7698a6e5a9ca0d5718e100,1,0,0,1,0,1,1,1
fb4b16bb22b8898c118412f32fad5601741fb05e,1,0,0,1,0,1,1,1
d49abcd4c3cf05df5aae535bb90e8e805c00aff2,1,0,0,1,0,1,1,1
19de417754f10ccdfe45c113c75044afe21fa992,1,0,0,1,0,1,1,1
bec1eac7ade48f5a9e40d05ce95a54e272eecfb0,1,0,0,1,0,0,1,1
f28f5b4c67b18be74aa3b48659031eb1e31443fa,0,1,1,0,1,0,0,0
1c9f96e44e7138049b53ff9cfe593b7f95f44f53,0,1,1,0,1,0,0,0
5ad794b62328294f7a86890a1fd4f4c53e7d3037,1,0,0,1,0,1,1,1
11112229889edb04633731b4f218a8d56e2a15ee,0,1,1,0,1,0,0,0
556991c703ebe96424f8698497bd6a6e7b2fde1d,1,0,0,1,0,1,1,1
959e56c8323c2d1b27c9b5bb87062398264cd36f,1,0,0,1,0,1,1,1
1e31e2132c1bb8aea8ecb4f2fb735a8901c5b943,0,1,1,0,1,0,0,0
59e6f76680499eb87e53c37daed00f4baa166c28,1,0,0,1,0,1,1,1
7a09e21059f00d8f5e4b7b2228bf1700c188a263,0,1,1,0,1,0,0,0
346f01d78a4ce4a47781eb49ae044668d7b50fa7,1,0,0,1,0,1,1,1
ac445ef80fc8f5a219d32706bc79d5f634d67d92,1,0,0,1,0,1,1,1
5e9ebbba8c5b6101b5aa24456aa492f9f70f348b,0,1,1,0,1,0,0,0
05aae448e22849d56418fefb06ca810836e27a69,0,1,1,0,1,0,0,0
a84c5c27b776ca636f2c5ed120e8fcf7669224b0,0,1,1,0,1,0,0,0
33158e438cc21757869cdb447bcd03af7b79f7e9,0,1,1,0,1,0,0,0
c336299b31ff2c667d6025afd09e0ece6544ddc8,0,1,1,0,1,0,0,0
1943a5ed302536d88b93c8a7a593bd60775bb6bf,0,1,1,0,1,0,0,0
f3f2a38d41b098f93f7fc6a25067f1b44ebe4a59,0,1,1,0,1,0,0,0
eac396535483234223fc3e71dd3e53168ed9b5bd,0,1,1,0,1,0,0,0
044a0ddac6aaeaa518e79a1bbab929a97a6c9994,1,0,0,1,0,1,1,1
8c28559672361149bf314804e22ed953bfebb6b8,0,1,1,0,1,0,0,0
f28a73962f196ec175816e778e8dd946fdcf13a6,1,0,0,1,0,1,1,1
10b694d0ba5bd4537de36f4d113f68627b8b2691,0,1,1,0,1,0,0,0
fe70262ce7e8d2f8c753315fee8fefadcacbf569,0,1,1,0,1,0,0,0
20f2277a87abb669f55fe3fa67b0d61e036c5552,0,1,1,0,1,0,0,0
691df1ede73cff8aaab5228368ea1e24807d788c,1,0,0,1,0,1,1,1
106bcd930e4606f983507a0bed24ab8c909a572f,1,0,0,1,0,1,1,1
d31df8b4069678e2f32790670e2f4702f596f347,1,0,0,1,0,1,1,1
74f0f374003e296536a2c6ed5f50e1e2db13d44c,1,0,0,1,0,1,1,1
4785f055980c9b7188b481133eeb2348dca39853,0,1,1,0,1,0,0,0
d499aef63ad41295dd9f164d880f617610da1c1c,1,0,0,1,0,1,1,1
01ece2b963a6d334dfb0ba50ad096567ca1766c1,1,0,0,1,0,1,1,1
77d942cfa2d4b9266080258943048825e7449ad2,0,1,1,0,1,0,0,0
cd537c93acca44e3962c5246d1b15cb5ea132f9a,0,1,1,0,1,0,0,0
2b3116944b0d6fbc0e48a9f458d043d16b3556fe,1,0,0,1,0,1,1,1
c483beec0afae8d08f011182460095049025b8d1,1,0,0,1,0,1,1,1
9cf5bf7847155c32c075449fdccfd7f2afe17219,0,1,1,0,1,0,0,0
5c9566d46ccb1ab640df3df4406ee4c05230337e,1,0,0,1,0,1,1,1
8bb95452cdc553246bddb89861b2442fc3cd775d,0,1,1,0,1,0,0,0
734bd61cc2736a8ce0daa45e7d6c868cbdb59fa1,0,1,1,0,1,0,0,0
2604.16340,1,0,0,1,0,1,1,1
2410.18725,1,0,0,1,0,1,1,1
2102.01116,0,1,1,0,1,0,0,0
2206.04800,1,0,0,1,0,1,1,1
2308.09380,1,0,0,1,0,0,1,1
2307.00364,1,0,0,1,0,1,1,1
2605.02903,0,1,1,0,1,0,0,0
2412.01829,0,1,1,0,1,0,0,0
2212.07058,0,1,1,0,1,0,0,0
2502.14116,1,0,0,1,0,1,1,1
2006.13427,0,1,1,0,1,0,0,0
2402.07915,1,0,0,1,0,1,1,1
2312.11507,1,0,0,1,0,1,1,1
2111.00601,1,0,0,1,0,1,1,1
2208.14937,1,0,0,1,0,1,1,1
2407.17165,0,1,1,0,1,0,0,0
2410.00366,0,1,1,0,1,0,0,0
2011.03195,1,0,0,1,0,1,1,1
2506.13904,1,0,0,1,0,1,1,1
2105.12497,0,1,1,0,1,0,0,0
2508.05753,1,0,0,1,0,1,1,1
2404.12832,0,1,1,0,1,0,0,0
2306.02312,1,0,0,1,0,1,1,1
2606.26202,0,0,0,0,1,0,1,0
1911.10104,1,0,0,1,0,1,1,1
2504.08552,1,0,0,1,0,1,1,1
2401.17511,1,0,0,1,0,1,1,1
2306.01750,1,0,0,1,0,1,1,1
2502.07347,1,0,0,1,0,1,1,1
2604.09578,1,0,0,1,0,1,1,1
2502.17999,0,1,1,0,1,0,0,0
2302.10671,1,0,0,1,0,1,1,1
2412.17527,0,1,1,0,1,0,0,0
2309.09917,1,0,0,1,0,1,1,1
2312.10696,0,1,1,0,1,0,0,0
2102.01998,0,1,1,0,1,0,0,0
2308.16113,1,0,0,1,0,1,1,1
2208.08739,1,0,0,1,0,1,1,1
2401.17477,1,0,0,1,0,1,1,1
2106.10191,1,0,0,1,0,1,1,1
2307.05104,1,0,0,1,0,1,1,1
2309.00252,0,1,1,0,1,0,0,0
2509.16685,1,1,1,1,0,0,0,1
2408.05239,0,0,0,1,0,0,0,0
2603.15373,1,0,0,1,0,1,1,1
2508.09639,1,0,0,1,0,1,1,1
1905.11474,1,0,0,1,0,1,1,1
2504.19027,1,0,0,1,0,1,1,1
2302.06609,1,0,0,1,0,1,1,1
2303.06640,1,0,1,1,0,1,1,1
2403.09410,0,1,1,0,1,0,0,0
2603.06485,1,0,0,1,0,1,1,1
2604.09799,1,0,0,1,0,1,1,1
2512.07178,1,0,0,1,0,1,1,1
2305.05525,0,1,1,0,1,0,0,0
2406.13584,1,0,0,1,0,1,1,1
2403.04130,0,1,1,0,1,0,0,0
2109.15125,1,0,0,1,0,1,1,1
2608.27821,1,0,0,1,0,1,1,1
2403.15684,0,1,1,0,1,0,0,0
2502.02618,0,1,1,0,1,0,0,0
2401.15840,1,0,0,1,0,1,1,1
2408.00753,0,1,1,0,1,0,0,0
2510.19514,0,1,1,0,1,0,0,0
2501.06077,1,0,0,1,0,1,1,1
2608.07091,1,0,0,1,0,1,1,1
2411.14471,0,1,1,0,1,0,0,0
2403.09752,0,1,1,0,1,0,0,0
2412.00800,1,0,0,1,0,1,1,1
2205.04599,1,1,0,1,0,0,0,1
2404.03892,0,1,1,0,1,0,0,0
2501.16357,0,1,1,0,1,0,0,0
2511.00246,0,1,1,0,1,0,0,0
2504.04549,0,1,1,0,1,0,0,0
2308.11446,1,0,0,1,0,1,1,1
2310.01828,0,1,1,0,1,0,0,0
2404.13419,1,0,0,1,0,1,1,1
2505.08198,1,0,0,1,0,1,1,1
2011.04049,1,0,0,1,0,1,1,1
2311.14139,0,1,1,0,1,0,0,0
2307.07603,0,1,1,0,1,0,0,0
2606.05710,1,0,0,1,0,1,1,1
2212.13261,1,0,0,1,0,1,1,1
2511.08361,1,0,0,1,0,1,1,1
2506.07228,0,1,1,0,1,0,0,0
2408.12420,1,0,0,1,0,1,1,1
2012.00093,1,0,0,1,0,1,1,1
2501.12706,1,0,0,1,0,1,1,1
2306.11985,1,0,0,1,0,1,1,1
2503.06463,1,0,0,1,0,1,1,1
