seed_a,seed_b,ari
42,0,0.9099274562224551
42,1,0.9099274562224551
42,2,0.9770805396144984
42,10,0.9770805396144984
42,20,0.8881988121744191
42,50,0.9099731903568691
42,100,0.977092776731605
0,1,0.9544369880891367
0,2,0.9320319450636847
0,10,0.9320319450636847
0,20,0.8881988121744191
0,50,0.9544601226074221
0,100,0.8880968978268061
1,2,0.9320319450636847
1,10,0.9320319450636847
1,20,0.8453197683730787
1,50,0.9099731903568691
1,100,0.8880968978268061
2,10,1.0
2,20,0.8666087381988373
2,50,0.888100323121909
2,100,0.9544377187136104
10,20,0.8666087381988373
10,50,0.888100323121909
10,100,0.9544377187136104
20,50,0.9321480712686997
20,100,0.8666458699129366
50,100,0.8881476693980372
